SEX,INSR_TYPE,INSURED_VALUE,PREMIUM,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID,DURATION,CLAIM_PAID_LOG
0,1202,285451.24,3931.23,2010.0,4.0,7.0,Pick-up,2494.0,TOYOTA,Own Goods,12152.73,364,9.405391397539873
0,1201,473778.0,6121.78,2000.0,7.0,0.0,Automobile,2779.0,TOYOTA,Private,16100.0,364,9.686636660844938
0,1201,473778.0,6121.78,2000.0,7.0,0.0,Automobile,2779.0,TOYOTA,Private,46320.0,364,10.743350700960299
0,1201,438578.0,5601.84,2000.0,9.0,0.0,Automobile,4169.0,NISSAN,Private,103766.66,364,11.549909640475168
0,1201,440795.58,5950.62,2002.0,12.0,0.0,Automobile,4164.0,TOYOTA,Private,8972.0,364,9.101975347298058
0,1201,442674.87,5905.72,2003.0,9.0,0.0,Automobile,4164.0,TOYOTA,Private,13800.0,364,9.53249633228804
0,1201,442674.87,5905.72,2003.0,9.0,0.0,Automobile,4164.0,TOYOTA,Private,5750.0,364,8.657129031713755
0,1202,310779.0,4756.13,2006.0,4.0,7.0,Pick-up,2477.0,MITSUBISHI,Own Goods,11100.0,364,9.314790473332646
0,1201,216940.72,3947.88,2006.0,5.0,0.0,Automobile,1328.0,SUZUKI,Private,30091.3,364,10.312024604057507
0,1201,216940.72,3135.16,2006.0,5.0,0.0,Automobile,1328.0,SUZUKI,Private,5175.0,365,8.551787836180736
0,1201,212246.0,4301.14,2002.0,5.0,0.0,Automobile,4000.0,MITSUBISHI,Private,4600.0,365,8.434028950155469
0,1201,212246.0,4099.983,2002.0,5.0,0.0,Automobile,4000.0,MITSUBISHI,Private,5103.17,364,8.537813131679984
1,1202,800000.0,28469.45,2005.0,2.0,0.0,Truck,8226.0,ISUZU,General Cartage,140.0,364,4.948759890378168
0,1202,395398.0,4927.99,2002.0,4.0,7.0,Pick-up,2779.0,TOYOTA,Own Goods,18260.86,364,9.812570010954808
0,1202,233600.0,5046.59,2008.0,14.0,14.0,Bus,2986.0,TOYOTA,Own service,30949.98,365,10.3401599415856
